Time,IL1,IL2,Rede,Vbus11,Vpv,HIL0 digital input 19,HIL0 digital input 15,HIL0 digital input 18,HIL0 digital input 14,HIL0 digital input 28
0.0129,-1.9774754,-1.322121,-240.20515,409.1648,22.17108,0.0,1.0,1.0,0.0,1.0
0.013,-2.8459036,-1.2459735,-236.49902,408.89493,22.165022,0.0,1.0,1.0,0.0,1.0
0.0131,-2.597549,-1.2419953,-233.5574,408.84045,22.159073,0.0,1.0,1.0,0.0,1.0
0.0132,-3.0860956,-1.1763756,-230.4281,408.83307,22.153358,0.0,1.0,1.0,0.0,1.0
0.0133,-3.4151764,-1.1417485,-226.09917,408.73666,22.147734,0.0,1.0,1.0,0.0,1.0
0.0134,-3.4957237,-1.1404008,-219.76283,408.8194,22.14245,0.0,1.0,1.0,0.0,1.0
0.0135,-3.961068,-1.1071441,-211.02585,408.96896,22.13724,0.0,1.0,1.0,0.0,1.0
0.0136,-4.2400794,-1.0855478,-200.00842,409.161,22.132326,0.0,1.0,1.0,0.0,1.0
0.0137,-4.6610193,-1.0514984,-187.30557,409.46,22.127861,0.0,1.0,0.0,0.0,1.0
0.0138,-5.3781786,-1.0121231,-173.82271,409.72507,22.123758,1.0,1.0,0.0,0.0,1.0
0.0139,-3.510357,-0.9934541,-160.5322,410.20844,22.119833,1.0,1.0,0.0,0.0,1.0
0.014,-3.008139,-0.8956688,-148.21957,410.67242,22.116302,1.0,1.0,0.0,0.0,1.0
0.0141,-1.579783,-0.8343838,-137.2898,411.12195,22.113451,1.0,1.0,0.0,0.0,1.0
0.0142,-1.2180436,-0.72260666,-127.68576,411.62143,22.111317,1.0,1.0,0.0,0.0,1.0
0.0143,-0.040820047,-0.6931539,-118.938934,412.02942,22.109873,1.0,1.0,0.0,0.0,1.0
0.0144,0.9187671,-0.65056115,-110.33351,412.57062,22.109211,1.0,1.0,0.0,0.0,1.0
0.0145,1.4981441,-0.5829144,-101.13413,413.06525,22.108963,1.0,1.0,0.0,0.0,1.0
0.0146,2.7096388,-0.56410986,-90.80993,413.57877,22.109035,1.0,1.0,0.0,0.0,1.0
0.0147,3.2134185,-0.50749487,-79.19067,414.16437,22.109715,1.0,1.0,0.0,0.0,1.0
0.0148,4.2970767,-0.46394965,-66.51198,414.73898,22.110928,1.0,1.0,0.0,0.0,1.0
0.0149,4.6378384,-0.38031834,-53.340252,415.35736,22.112701,1.0,1.0,0.0,0.0,1.0
0.015,5.733116,-0.35826784,-40.40258,415.92566,22.115189,0.0,1.0,1.0,0.0,1.0
0.0151,5.9705048,-0.2671515,-28.374218,416.55017,22.118248,0.0,1.0,1.0,0.0,1.0
0.0152,5.268773,-0.18789062,-17.686678,417.1855,22.121944,0.0,1.0,1.0,0.0,1.0
0.0153,5.1360993,-0.13940562,-8.411494,417.8113,22.126263,0.0,1.0,1.0,0.0,1.0
0.0154,4.4257483,-0.04349846,-0.25081858,418.451,22.131296,0.0,1.0,1.0,0.0,1.0
0.0155,3.6867228,0.033367306,7.366484,419.06967,22.1367,0.0,0.0,1.0,0.0,1.0
0.0156,3.47459,0.08992788,15.115337,419.66724,22.14255,0.0,0.0,1.0,0.0,1.0
0.0157,2.3363574,0.1557437,23.584019,420.29205,22.148735,0.0,0.0,1.0,0.0,1.0
0.0158,2.4214,0.15758708,33.11922,420.87027,22.155506,0.0,0.0,1.0,0.0,1.0
0.0159,1.3408434,0.23022625,43.75007,421.45206,22.162947,0.0,0.0,1.0,0.0,1.0
0.016,0.8004945,0.2586896,55.20912,422.01404,22.17063,0.0,0.0,1.0,0.0,1.0
0.0161,0.1487424,0.31423914,67.0384,422.49323,22.178606,0.0,0.0,1.0,0.0,1.0
0.0162,-0.80329317,0.40260956,78.74357,422.97247,22.186785,0.0,0.0,1.0,0.0,1.0
0.0163,-1.4751793,0.45739636,89.946526,423.44507,22.195225,0.0,1.0,1.0,0.0,1.0
0.0164,-2.5291364,0.5366465,100.489334,423.82672,22.204178,0.0,1.0,1.0,0.0,1.0
0.0165,-3.3752198,0.60111296,110.46014,424.22714,22.213684,0.0,1.0,0.0,0.0,1.0
0.0166,-4.198494,0.6452288,120.13672,424.5815,22.223625,0.0,1.0,0.0,0.0,1.0
0.0167,-3.8772216,0.699625,129.87013,424.898,22.233885,1.0,1.0,0.0,0.0,1.0
0.0168,-3.130463,0.7267135,139.94826,425.24432,22.24452,1.0,1.0,0.0,0.0,1.0
0.0169,-2.3170664,0.77875865,150.48459,425.44025,22.255713,1.0,1.0,0.0,0.0,1.0
0.017,-2.2195182,0.8484529,161.36797,425.66724,22.267057,1.0,1.0,0.0,0.0,1.0
0.0171,-0.9398959,0.86907864,172.28828,425.75574,22.278608,1.0,1.0,0.0,0.0,1.0
0.0172,-0.9318771,0.93158036,182.82883,425.86246,22.290358,1.0,1.0,0.0,0.0,1.0
0.0173,0.017929833,0.96213007,192.59436,425.83746,22.30252,1.0,1.0,0.0,0.0,1.0
0.0174,-0.1029228,1.0447681,201.33347,425.83734,22.314808,1.0,1.0,0.0,0.0,1.0
0.0175,0.65643936,1.0831755,209.01624,425.8124,22.327457,1.0,1.0,0.0,0.0,1.0
0.0176,0.7669342,1.1475887,215.8427,425.74716,22.340115,1.0,1.0,0.0,0.0,1.0
0.0177,1.3850179,1.1735777,222.18034,425.74127,22.352736,1.0,1.0,0.0,0.0,1.0
0.0178,1.7194276,1.2299321,228.45065,425.54712,22.365667,1.0,1.0,0.0,0.0,1.0
0.0179,1.8246536,1.2695003,235.00081,425.4827,22.3784,1.0,1.0,0.0,0.0,1.0
0.018,2.4739819,1.2604768,241.99979,425.27945,22.391365,1.0,1.0,0.0,0.0,1.0
0.0181,2.6462312,1.2867513,249.38992,425.02945,22.40477,1.0,1.0,0.0,0.0,1.0
0.0182,2.9733639,1.3197159,256.9066,424.72955,22.41824,1.0,1.0,0.0,0.0,1.0
0.0183,3.0793052,1.3780214,264.1568,424.3402,22.431389,1.0,1.0,0.0,0.0,1.0
0.0184,3.0612195,1.4137633,270.73026,424.05255,22.444086,1.0,1.0,0.0,0.0,1.0
0.0185,3.6910625,1.4259741,276.30673,423.55814,22.456854,1.0,1.0,0.0,0.0,1.0
0.0186,3.5342689,1.4602544,280.72757,423.21298,22.469345,1.0,1.0,0.0,0.0,1.0
0.0187,3.7078404,1.4890519,284.01196,422.7488,22.482002,1.0,1.0,0.0,0.0,1.0
0.0188,3.787335,1.5151329,286.31873,422.35056,22.49425,1.0,1.0,0.0,0.0,1.0
0.0189,4.2407312,1.5274705,287.8718,421.8586,22.50616,1.0,0.0,0.0,0.0,1.0
0.019,4.2062635,1.5493808,288.87918,421.4809,22.51786,1.0,0.0,0.0,0.0,1.0
0.0191,4.462014,1.5491853,289.47635,421.0216,22.529373,1.0,0.0,0.0,0.0,1.0
0.0192,4.4680157,1.592976,289.713,420.54868,22.540756,0.0,0.0,1.0,0.0,1.0
0.0193,3.6942117,1.6035528,289.58698,420.20422,22.552275,0.0,0.0,1.0,0.0,1.0
0.0194,2.2235663,1.6325101,289.1082,419.7958,22.563875,0.0,0.0,1.0,0.0,1.0
0.0195,1.4602902,1.6105113,288.3646,419.45157,22.575256,0.0,0.0,1.0,0.0,1.0
