Time,IL2,Rede,Bus,HIL0 digital input 29
0.033446,1.6455411,311.12396,400.0,1
0.033447,1.6456985,311.1236,400.0,1
0.033448,1.6467754,311.12323,400.0,1
0.033449,1.648426,311.12286,400.0,1
0.03345,1.6509733,311.1225,400.0,1
0.033451,1.6522298,311.12213,400.0,1
0.033452,1.6517636,311.12177,400.0,1
0.033453,1.6506317,311.12137,400.0,1
0.033454,1.6493104,311.121,400.0,1
0.033455,1.648183,311.12024,400.0,1
0.033456,1.6475545,311.11917,400.0,1
0.033457,1.6476635,311.11804,400.0,1
0.033458,1.6486925,311.11694,400.0,1
0.033459,1.650163,311.1158,400.0,1
0.03346,1.6526028,311.11472,400.0,1
0.033461,1.6538382,311.11362,400.0,1
0.033462,1.6532252,311.11252,400.0,1
0.033463,1.6519656,311.1114,400.0,1
0.033464,1.6505322,311.1103,400.0,1
0.033465,1.6493053,311.1092,400.0,1
0.033466,1.6485872,311.1081,400.0,1
0.033467,1.6486145,311.107,400.0,1
0.033468,1.6495682,311.10587,400.0,1
0.033469,1.6508487,311.10477,400.0,1
0.03347,1.6531651,311.10367,400.0,1
0.033471,1.6543808,311.10257,400.0,1
0.033472,1.6536254,311.10083,400.0,1
0.033473,1.6522439,311.09897,400.0,1
0.033474,1.6507056,311.09714,400.0,1
0.033475,1.6493881,311.09528,400.0,1
0.033476,1.6485913,311.09344,400.0,1
0.033477,1.6485499,311.0916,400.0,1
0.033478,1.6494434,311.08975,400.0,1
0.033479,1.6505976,311.08792,400.0,1
0.03348,1.6528293,311.08606,400.0,1
0.033481,1.654043,311.08426,400.0,1
0.033482,1.6532028,311.0824,400.0,1
0.033483,1.6517513,311.08057,400.0,1
0.033484,1.6501554,311.0787,400.0,1
0.033485,1.648791,311.07687,400.0,1
0.033486,1.6479565,311.075,400.0,1
0.033487,1.6478851,311.07318,400.0,1
0.033488,1.6487553,311.0712,400.0,1
0.033489,1.6497644,311.0686,400.0,1
0.03349,1.6519328,311.06604,400.0,1
0.033491,1.6532408,311.06345,400.0,1
0.033492,1.6523354,311.06088,400.0,1
0.033493,1.6508362,311.0583,400.0,1
0.033494,1.6492076,311.05573,400.0,1
0.033495,1.6478231,311.05313,400.0,1
0.033496,1.6469792,311.05057,400.0,1
0.033497,1.6469078,311.048,400.0,1
0.033498,1.6477859,311.0454,400.0,1
0.033499,1.6486683,311.04285,400.0,1
0.0335,1.6508092,311.04022,400.0,1
0.033501,1.6522924,311.03766,400.0,1
0.033502,1.6513661,311.03506,400.0,1
