Time,IL1,IL2,Rede,Vbus11,Vpv
0.0148,2.4808607,0.9537728,149.40503,445.31885,22.225313
0.01482,1.9051013,0.95843214,151.72574,445.4199,22.22992
0.01484,1.7229496,0.945492,154.05908,445.49457,22.234549
0.01486,1.6530354,0.9338051,156.41087,445.5259,22.23922
0.01488,1.2558511,0.9402183,158.781,445.5141,22.24381
0.0149,0.36190024,0.95827806,161.17097,445.55948,22.248379
0.01492,-0.20511882,0.9615915,163.5848,445.61914,22.252907
0.01494,-0.31906763,0.9486888,166.0186,445.68628,22.257408
0.01496,-0.6787446,0.93953013,168.47643,445.69803,22.26187
0.01498,-1.2783291,0.9336823,170.95616,445.72302,22.26619
0.015,-1.8311279,0.921575,173.45724,445.7459,22.270409
0.01502,-1.9772048,0.9049184,175.9813,445.77045,22.27461
0.01504,-2.3707802,0.9014886,178.52211,445.75882,22.278816
0.01506,-3.0702415,0.9090876,181.08188,445.73962,22.282976
0.01508,-3.7589378,0.91173357,183.65633,445.72867,22.287037
0.0151,-3.976634,0.8998187,186.24303,445.76834,22.29108
0.01512,-3.7559547,0.89416355,188.84004,445.78552,22.295164
0.01514,-3.883374,0.8987514,191.44058,445.79318,22.299587
0.01516,-3.7517753,0.9022556,194.04547,445.7473,22.30395
0.01518,-2.9511507,0.9129419,196.64905,445.7866,22.308338
0.0152,-2.9427783,0.9279482,199.24762,445.8387,22.312695
0.01522,-2.7241511,0.93298954,201.83571,445.82327,22.316938
0.01524,-2.231311,0.9297129,204.40797,445.79578,22.321138
0.01526,-2.0321257,0.93664616,206.96484,445.77188,22.32532
0.01528,-1.8854827,0.95181936,209.50037,445.78372,22.329487
0.0153,-1.8499504,0.96841604,212.01077,445.73346,22.333609
0.01532,-1.4141057,0.97575706,214.48808,445.68768,22.337639
0.01534,-1.0863117,0.98950106,216.93011,445.63507,22.341642
0.01536,-1.100426,1.0166024,219.33788,445.60123,22.345629
0.01538,-0.982911,1.0435508,221.7064,445.55942,22.34953
0.0154,-0.725184,1.0651853,224.03305,445.49658,22.353403
0.01542,-0.4892059,1.0847948,226.30927,445.4433,22.357222
0.01544,-0.42908454,1.1054621,228.53656,445.37802,22.360914
0.01546,-0.33017212,1.1216078,230.71747,445.31802,22.364388
0.01548,-0.018280579,1.1298527,232.849,445.2748,22.367756
0.0155,0.3590529,1.1377213,234.93037,445.1782,22.37104
0.01552,0.33417955,1.1540059,236.95453,445.0798,22.374203
0.01554,0.3636941,1.1660913,238.92632,445.01776,22.377275
0.01556,0.48848456,1.1673894,240.85004,444.99585,22.380304
0.01558,0.9076903,1.1630151,242.72504,444.90454,22.383232
0.0156,1.0688449,1.1659337,244.55272,444.8029,22.386114
0.01562,0.9615954,1.1768376,246.32904,444.6876,22.389034
0.01564,0.92185724,1.1744224,248.06075,444.68503,22.391876
0.01566,1.6399373,1.1590416,249.75356,444.58206,22.394611
0.01568,1.8788141,1.16286,251.40894,444.42157,22.397242
0.0157,1.4259305,1.1866775,253.02998,444.2657,22.399841
0.01572,1.6684529,1.201057,254.61633,444.19968,22.40246
0.01574,2.051667,1.214192,256.17453,444.09354,22.404985
0.01576,2.244025,1.2377164,257.71112,443.92465,22.407393
0.01578,1.3556253,1.2619399,259.2286,443.8592,22.409626
0.0158,2.28147,1.2462325,260.73083,443.8375,22.411781
0.01582,2.9281504,1.2407584,262.22064,443.64853,22.413916
0.01584,2.6916385,1.2655486,263.7025,443.42825,22.41604
0.01586,2.3377695,1.2825601,265.18265,443.35822,22.418184
0.01588,2.8194697,1.2788903,266.66345,443.25024,22.420296
0.0159,3.0415976,1.2796286,268.14835,443.15726,22.422354
0.01592,2.8541517,1.2871858,269.6419,442.98355,22.424292
0.01594,2.8795073,1.2705677,271.14523,442.9475,22.426107
0.01596,2.1333299,1.2396171,272.66333,442.89883,22.427841
0.01598,3.7807567,1.1741182,274.19727,442.868,22.429474
0.016,4.0399704,1.153912,275.74902,442.5078,22.431093
0.01602,2.3221285,1.1494095,277.32297,442.49426,22.432798
0.01604,4.082579,1.0998945,278.91666,442.37433,22.434498
0.01606,4.4425893,1.0959829,280.5332,442.10352,22.436054
0.01608,3.4473274,1.1352175,282.17172,441.9219,22.43751
0.0161,3.1962926,1.12801,283.83206,442.01355,22.438887
0.01612,4.5805087,1.1032408,285.5166,441.77393,22.44025
0.01614,4.222261,1.1210829,287.22015,441.6135,22.44159
0.01616,3.2662354,1.1441997,288.94406,441.61115,22.44283
0.01618,4.39939,1.1365169,290.68515,441.45328,22.443954
0.0162,4.23571,1.153691,292.4414,441.20938,22.445051
0.01622,4.111284,1.1829708,294.21185,441.0595,22.446112
0.01624,3.1354868,1.1860702,295.9904,441.18744,22.446972
0.01626,4.865952,1.1469278,297.7768,440.98935,22.447708
0.01628,4.5641236,1.1445516,299.5664,440.71738,22.448404
0.0163,4.3435287,1.1519349,301.35583,440.54562,22.448927
0.01632,3.5161612,1.1306499,303.1405,440.66306,22.448948
0.01634,5.1629667,1.0860893,304.91534,440.43246,22.448944
0.01636,4.61839,1.0848043,306.6795,440.1565,22.448898
0.01638,4.1665406,1.0921354,308.42773,440.0083,22.448746
0.0164,4.526796,1.0736562,310.15625,439.9749,22.448542
0.01642,2.4306452,1.0837824,311.85767,439.76904,22.448215
0.01644,1.4979106,1.0991406,313.5295,439.63916,22.44778
0.01646,0.5401637,1.0915083,315.1712,439.65292,22.447304
0.01648,1.4568571,1.0929509,316.77808,439.33438,22.446795
0.0165,-0.011793223,1.1497258,318.3469,439.06924,22.44619
0.01652,-1.4727542,1.1680095,319.86896,439.1577,22.445456
0.01654,-0.3060123,1.1249132,321.3452,439.11133,22.444658
0.01656,-2.021973,1.1386178,322.77606,438.80118,22.443798
0.01658,-2.454286,1.1238464,324.1582,438.828,22.442776
0.0166,0.96058995,1.0682067,325.48987,438.94608,22.441677
0.01662,-0.59914875,1.0274553,326.76257,438.6694,22.44052
0.01664,-0.29348728,1.0353656,327.9805,438.21646,22.439287
0.01666,-2.297484,1.0927559,329.14536,437.95966,22.437939
0.01668,-3.568116,1.0865381,330.25574,438.29147,22.436548
0.0167,-0.30092588,1.0069131,331.3115,438.2315,22.435148
0.01672,0.0035775194,1.0076877,332.30554,437.81467,22.43368
0.01674,-1.7185639,1.0493593,333.24457,437.6121,22.432133
0.01676,-3.0485756,1.0276731,334.1313,437.90405,22.430477
0.01678,-0.5306128,0.89802706,334.96594,438.27475,22.428795
0.0168,0.7999729,0.7988089,335.74985,437.9041,22.426992
0.01682,-0.02783738,0.80465776,336.4781,437.39236,22.425081
