w,g1,f1
102.55,18.452,-74.025
102.55,18.451,-74.021
102.56,18.45,-74.018
102.57,18.448,-74.014
102.57,18.447,-74.011
102.58,18.446,-74.008
102.59,18.444,-74.004
102.6,18.443,-74.001
102.6,18.442,-73.997
102.61,18.44,-73.994
102.62,18.439,-73.991
102.62,18.437,-73.987
102.63,18.436,-73.984
102.64,18.435,-73.98
102.65,18.433,-73.977
102.65,18.432,-73.974
102.66,18.431,-73.97
102.67,18.429,-73.967
102.67,18.428,-73.964
102.68,18.427,-73.96
102.69,18.425,-73.957
102.7,18.424,-73.953
102.7,18.423,-73.95
102.71,18.421,-73.947
102.72,18.42,-73.943
102.72,18.419,-73.94
102.73,18.417,-73.936
102.74,18.416,-73.933
102.74,18.415,-73.93
102.75,18.413,-73.926
102.76,18.412,-73.923
102.77,18.411,-73.92
102.77,18.409,-73.916
102.78,18.408,-73.913
102.79,18.406,-73.909
102.79,18.405,-73.906
102.8,18.404,-73.903
102.81,18.402,-73.899
102.82,18.401,-73.896
102.82,18.4,-73.892
102.83,18.398,-73.889
102.84,18.397,-73.886
102.84,18.396,-73.882
102.85,18.394,-73.879
102.86,18.393,-73.875
102.87,18.392,-73.872
102.87,18.39,-73.869
102.88,18.389,-73.865
102.89,18.388,-73.862
102.89,18.386,-73.858
102.9,18.385,-73.855
102.91,18.384,-73.852
102.92,18.382,-73.848
102.92,18.381,-73.845
102.93,18.38,-73.841
102.94,18.378,-73.838
102.94,18.377,-73.835
102.95,18.376,-73.831
102.96,18.374,-73.828
102.97,18.373,-73.825
102.97,18.372,-73.821
102.98,18.37,-73.818
102.99,18.369,-73.814
102.99,18.368,-73.811
103,18.366,-73.808
103.01,18.365,-73.804
103.01,18.363,-73.801
103.02,18.362,-73.797
103.03,18.361,-73.794
103.04,18.359,-73.791
103.04,18.358,-73.787
103.05,18.357,-73.784
103.06,18.355,-73.78
103.06,18.354,-73.777
103.07,18.353,-73.774
103.08,18.351,-73.77
103.09,18.35,-73.767
103.09,18.349,-73.763
103.1,18.347,-73.76
103.11,18.346,-73.757
103.11,18.345,-73.753
103.12,18.343,-73.75
103.13,18.342,-73.746
103.14,18.341,-73.743
103.14,18.339,-73.74
103.15,18.338,-73.736
103.16,18.337,-73.733
103.16,18.335,-73.729
103.17,18.334,-73.726
103.18,18.333,-73.723
103.19,18.331,-73.719
103.19,18.33,-73.716
103.2,18.329,-73.712
103.21,18.327,-73.709
103.21,18.326,-73.706
103.22,18.325,-73.702
103.23,18.323,-73.699
103.24,18.322,-73.695
103.24,18.321,-73.692
103.25,18.319,-73.689
103.26,18.318,-73.685
103.26,18.317,-73.682
103.27,18.315,-73.678
103.28,18.314,-73.675
103.29,18.313,-73.672
103.29,18.311,-73.668
103.3,18.31,-73.665
103.31,18.309,-73.661
103.31,18.307,-73.658
103.32,18.306,-73.655
103.33,18.305,-73.651
103.34,18.303,-73.648
103.34,18.302,-73.644
103.35,18.301,-73.641
103.36,18.299,-73.637
103.36,18.298,-73.634
103.37,18.297,-73.631
103.38,18.295,-73.627
103.39,18.294,-73.624
103.39,18.293,-73.62
103.4,18.291,-73.617
103.41,18.29,-73.614
103.41,18.289,-73.61
103.42,18.287,-73.607
103.43,18.286,-73.603
103.44,18.285,-73.6
103.44,18.283,-73.597
103.45,18.282,-73.593
103.46,18.281,-73.59
103.46,18.279,-73.586
103.47,18.278,-73.583
103.48,18.277,-73.58
103.49,18.275,-73.576
103.49,18.274,-73.573
103.5,18.273,-73.569
103.51,18.271,-73.566
103.51,18.27,-73.562
103.52,18.269,-73.559
103.53,18.267,-73.556
103.54,18.266,-73.552
103.54,18.265,-73.549
103.55,18.263,-73.545
103.56,18.262,-73.542
103.56,18.261,-73.539
103.57,18.259,-73.535
103.58,18.258,-73.532
103.59,18.257,-73.528
103.59,18.255,-73.525
103.6,18.254,-73.522
103.61,18.253,-73.518
103.61,18.252,-73.515
103.62,18.25,-73.511
103.63,18.249,-73.508
103.64,18.248,-73.504
103.64,18.246,-73.501
103.65,18.245,-73.498
103.66,18.244,-73.494
103.66,18.242,-73.491
103.67,18.241,-73.487
103.68,18.24,-73.484
103.69,18.238,-73.481
103.69,18.237,-73.477
103.7,18.236,-73.474
103.71,18.234,-73.47
103.71,18.233,-73.467
103.72,18.232,-73.463
103.73,18.23,-73.46
103.74,18.229,-73.457
103.74,18.228,-73.453
103.75,18.226,-73.45
103.76,18.225,-73.446
103.76,18.224,-73.443
103.77,18.222,-73.44
103.78,18.221,-73.436
103.79,18.22,-73.433
103.79,18.218,-73.429
103.8,18.217,-73.426
103.81,18.216,-73.422
103.82,18.214,-73.419
103.82,18.213,-73.416
103.83,18.212,-73.412
103.84,18.21,-73.409
103.84,18.209,-73.405
103.85,18.208,-73.402
103.86,18.207,-73.399
103.87,18.205,-73.395
103.87,18.204,-73.392
103.88,18.203,-73.388
103.89,18.201,-73.385
103.89,18.2,-73.381
103.9,18.199,-73.378
103.91,18.197,-73.375
103.92,18.196,-73.371
103.92,18.195,-73.368
103.93,18.193,-73.364
103.94,18.192,-73.361
103.94,18.191,-73.357
103.95,18.189,-73.354
103.96,18.188,-73.351
103.97,18.187,-73.347
103.97,18.185,-73.344
103.98,18.184,-73.34
103.99,18.183,-73.337
103.99,18.181,-73.334
104,18.18,-73.33
104.01,18.179,-73.327
104.02,18.178,-73.323
104.02,18.176,-73.32
104.03,18.175,-73.316
104.04,18.174,-73.313
104.04,18.172,-73.31
104.05,18.171,-73.306
104.06,18.17,-73.303
104.07,18.168,-73.299
104.07,18.167,-73.296
104.08,18.166,-73.292
104.09,18.164,-73.289
104.1,18.163,-73.286
104.1,18.162,-73.282
104.11,18.16,-73.279
104.12,18.159,-73.275
104.12,18.158,-73.272
104.13,18.156,-73.268
104.14,18.155,-73.265
104.15,18.154,-73.262
104.15,18.153,-73.258
104.16,18.151,-73.255
104.17,18.15,-73.251
104.17,18.149,-73.248
104.18,18.147,-73.244
104.19,18.146,-73.241
104.2,18.145,-73.238
104.2,18.143,-73.234
104.21,18.142,-73.231
104.22,18.141,-73.227
104.22,18.139,-73.224
104.23,18.138,-73.22
104.24,18.137,-73.217
104.25,18.135,-73.214
104.25,18.134,-73.21
104.26,18.133,-73.207
104.27,18.132,-73.203
104.27,18.13,-73.2
104.28,18.129,-73.196
104.29,18.128,-73.193
104.3,18.126,-73.19
104.3,18.125,-73.186
104.31,18.124,-73.183
104.32,18.122,-73.179
104.33,18.121,-73.176
104.33,18.12,-73.172
104.34,18.118,-73.169
104.35,18.117,-73.165
104.35,18.116,-73.162
104.36,18.115,-73.159
104.37,18.113,-73.155
104.38,18.112,-73.152
104.38,18.111,-73.148
