w,g1,f1
102.49,18.405,-73.915
102.5,18.404,-73.912
102.5,18.402,-73.909
102.51,18.401,-73.905
102.52,18.4,-73.902
102.53,18.398,-73.898
102.53,18.397,-73.895
102.54,18.396,-73.892
102.55,18.394,-73.888
102.55,18.393,-73.885
102.56,18.392,-73.881
102.57,18.39,-73.878
102.57,18.389,-73.875
102.58,18.388,-73.871
102.59,18.386,-73.868
102.6,18.385,-73.864
102.6,18.384,-73.861
102.61,18.382,-73.858
102.62,18.381,-73.854
102.62,18.38,-73.851
102.63,18.378,-73.847
102.64,18.377,-73.844
102.65,18.375,-73.84
102.65,18.374,-73.837
102.66,18.373,-73.834
102.67,18.371,-73.83
102.67,18.37,-73.827
102.68,18.369,-73.823
102.69,18.367,-73.82
102.7,18.366,-73.817
102.7,18.365,-73.813
102.71,18.363,-73.81
102.72,18.362,-73.806
102.72,18.361,-73.803
102.73,18.359,-73.8
102.74,18.358,-73.796
102.74,18.357,-73.793
102.75,18.355,-73.789
102.76,18.354,-73.786
102.77,18.353,-73.783
102.77,18.351,-73.779
102.78,18.35,-73.776
102.79,18.349,-73.772
102.79,18.347,-73.769
102.8,18.346,-73.766
102.81,18.345,-73.762
102.82,18.343,-73.759
102.82,18.342,-73.755
102.83,18.341,-73.752
102.84,18.339,-73.748
102.84,18.338,-73.745
102.85,18.337,-73.742
102.86,18.335,-73.738
102.87,18.334,-73.735
102.87,18.333,-73.731
102.88,18.331,-73.728
102.89,18.33,-73.725
102.89,18.329,-73.721
102.9,18.327,-73.718
102.91,18.326,-73.714
102.92,18.325,-73.711
102.92,18.323,-73.708
102.93,18.322,-73.704
102.94,18.321,-73.701
102.94,18.319,-73.697
102.95,18.318,-73.694
102.96,18.317,-73.69
102.97,18.315,-73.687
102.97,18.314,-73.684
102.98,18.313,-73.68
102.99,18.311,-73.677
102.99,18.31,-73.673
103,18.309,-73.67
103.01,18.307,-73.667
103.01,18.306,-73.663
103.02,18.305,-73.66
103.03,18.303,-73.656
103.04,18.302,-73.653
103.04,18.301,-73.65
103.05,18.299,-73.646
103.06,18.298,-73.643
103.06,18.297,-73.639
103.07,18.295,-73.636
103.08,18.294,-73.632
103.09,18.293,-73.629
103.09,18.291,-73.626
103.1,18.29,-73.622
103.11,18.289,-73.619
103.11,18.287,-73.615
103.12,18.286,-73.612
103.13,18.285,-73.608
103.14,18.283,-73.605
103.14,18.282,-73.602
103.15,18.281,-73.598
103.16,18.279,-73.595
103.16,18.278,-73.591
103.17,18.277,-73.588
103.18,18.275,-73.585
103.19,18.274,-73.581
103.19,18.273,-73.578
103.2,18.271,-73.574
103.21,18.27,-73.571
103.21,18.269,-73.567
103.22,18.267,-73.564
103.23,18.266,-73.561
103.24,18.265,-73.557
103.24,18.263,-73.554
103.25,18.262,-73.55
103.26,18.261,-73.547
103.26,18.259,-73.544
103.27,18.258,-73.54
103.28,18.257,-73.537
103.29,18.255,-73.533
103.29,18.254,-73.53
103.3,18.253,-73.526
103.31,18.251,-73.523
103.31,18.25,-73.52
103.32,18.249,-73.516
103.33,18.247,-73.513
103.34,18.246,-73.509
103.34,18.245,-73.506
103.35,18.243,-73.502
103.36,18.242,-73.499
103.36,18.241,-73.496
103.37,18.239,-73.492
103.38,18.238,-73.489
103.39,18.237,-73.485
103.39,18.235,-73.482
103.4,18.234,-73.478
103.41,18.233,-73.475
103.41,18.231,-73.472
103.42,18.23,-73.468
103.43,18.229,-73.465
103.44,18.228,-73.461
103.44,18.226,-73.458
103.45,18.225,-73.454
103.46,18.224,-73.451
103.46,18.222,-73.448
103.47,18.221,-73.444
103.48,18.22,-73.441
103.49,18.218,-73.437
103.49,18.217,-73.434
103.5,18.216,-73.43
103.51,18.214,-73.427
103.51,18.213,-73.424
103.52,18.212,-73.42
103.53,18.21,-73.417
103.54,18.209,-73.413
103.54,18.208,-73.41
103.55,18.206,-73.406
103.56,18.205,-73.403
103.56,18.204,-73.4
103.57,18.202,-73.396
103.58,18.201,-73.393
103.59,18.2,-73.389
103.59,18.198,-73.386
103.6,18.197,-73.382
103.61,18.196,-73.379
103.61,18.194,-73.376
103.62,18.193,-73.372
103.63,18.192,-73.369
103.64,18.191,-73.365
103.64,18.189,-73.362
103.65,18.188,-73.358
103.66,18.187,-73.355
103.66,18.185,-73.352
103.67,18.184,-73.348
103.68,18.183,-73.345
103.69,18.181,-73.341
103.69,18.18,-73.338
103.7,18.179,-73.334
